colonia,date,ct,text
PALMITAS,2017-04-04,5,"#ÚltimaHora, tiroteo entre militares y delincuentes en la comunidad de Palmitas, municipio de Angostura; un abatido… https://t.co/l55Wf2FjNs"
SAN MIGUEL TEOTONGO (SECC MERCEDES),2017-04-04,9,URGENTE colectivos disparan nuestra manifestacion pacifica estamos en la autopista Auxilio! https://t.co/TXweZe2IuI
AMPL LA CONCHITA,2017-04-05,27,Tenemos 4 heridos a tiros tras balacera en el centro de Tláhuac. Están graves. Verificando móvil. Tierra y Libertad esq Agustín Lara. #CDMX
ZONA RES ACUEDUCTO DE GUADALUPE,2017-04-06,5,Ninguna patrulla en sta ma ribera después de balacera —@arabianrisk https://t.co/md9U4E4LYk
AMPL SINATEL,2017-04-07,8,"#CdMx |

Reportan balacera en Sur 109 y Agustín Yáñez, col Popular. SSP en el punto. ¡Les informo!"
TLAXPANA,2017-04-07,7,"Se escuchan balazos, motos y gritos en col. tlaxpana calles atzayacatl y quetzalcoalt. —@cristin38722980"
Z URB EJ STA MARIA AZTAHUACAN,2017-04-07,6,"Imágenes de la balacera durante la cabalgata de la Feria de #Cuernavaca en Av. Plan de Ayala. Hay un herido. 

VIDE… https://t.co/UUDNGKnmnU"
ANZURES,2017-04-08,6,"#CdMx |

Servicios Periciales retiran cadáver de la colonia Anzures asesinado a balazos. 

QEPD https://t.co/xyitjilmIN"
BARRIO NORTE,2017-04-10,11,Podrían revisar hay disparos en av padre hidalgo entre calle 9 y calle 8 urge —@Alverik_wagen https://t.co/x8F9tShLWu
SAN JUAN XALPA,2017-04-10,21,Se escuchan balazos en la colonia san juan xalpa llevan al menos 20 detonaciones —@DavidPerrea_ https://t.co/C435Ns2R2q
SANTA CATARINA AMPLIACION,2017-04-11,6,"Hombre asesinado a balazos en la Autopista México Pachuca a la altura de la Av. San José
@RamkarC informa con… https://t.co/DKjIjrOayz"
ROMA NORTE,2017-04-12,27,Persecución y balacera en calles de la Roma Norte #CUH. Par de ladrones abandonan auto y escapan. #OncesDeLaNoche. https://t.co/tjH8or63A0
PORTALES ORIENTE,2017-04-14,7,"Reporte de tiroteo en interior Plaza Universidad. Sector Portales. 
@UCS_CDMX"
APATLACO,2017-04-16,5,"Estoy escuchando una balacera, no sé de dónde provenga. aproximadamente entre eje 5 y eje central. —@diprosopia https://t.co/QbatbFFvj6"
JUAREZ,2017-04-17,12,Vecinos están reportando disparos y gente corriendo asustada afuera de Liverpool de Plaza Tezontle. Nos estamos acercando. @retioDF
BARRIO SAN MIGUEL,2017-04-19,5,"Asesinan de dos disparos a un hombre en Av Rojo Gómez y Artemio Alpízar, Barrio San Miguel en @Del_Iztapalapa. Vía… https://t.co/TpCLTj2fcV"
SAN MIGUEL TEOTONGO(SECC CORR),2017-04-19,5,En la Av. Peaz de El Paraíso se escuchan fuertes detonaciones y disparos en este momento.
PLAN DE BARRANCAS,2017-04-21,11,@DonRamonMX @elabuelopower0  asalto y balacera en Paseo hace unos minutos
LA PRADERA,2017-04-22,17,"#CdMx | Asesinan a dos personas a balazos a unas calles de distancia se encuentran uno del otro col Pradera, del GAM. SSP resguarda la zona."
BARRIO 18,2017-04-25,6,Nuestros amigos de #Xochimilco nos reportan disparos en Canal 27 cerca Tulyehualco. Hay una persona tirada en el piso. #CDMX @retioDF
LA CANDELARIA TICOMAN,2017-04-25,8,Asesinan a persona de 2 balazos en candelaria y palma col. candelaria ticoman gam peritos de ya en l… —@ElPolloCDMX https://t.co/nTua5Ksnbd
MORELOS,2017-04-25,7,"📹#NotiMinutoSeguridad Cuatro personas baleadas, entre ellas un menor de edad, dejó un tiroteo en la Colonia Morelos… https://t.co/VsqvaSCzAb"
PRO HOGAR,2017-04-25,13,Reportan balacera en calle 19 entre calle 16 y central sur col. pro hogar —@LALON_GA_NICE https://t.co/3uyWyJ1Xgn
POLANCO REFORMA,2017-04-27,16,Mujer víctima de la crueldad de la delincuencia.Le roban 80 mil y le disparan.Ferrocarril de Cuernavaca #Polanco… https://t.co/tXg7ZGKUTa
3A SECC LOS CERRILLOS,2017-04-28,53,"Se registra balacera en Plaza Meave, en Eje Central. @jorgegonzalez00 https://t.co/TQD0zUYAzC"
SAN FELIPE DE JESUS,2017-04-28,6,"Héroes del 47 y Huiloapan, San Felipe de Jesús: informan de tiroteo, en preliminar dos personas lesionadas PAF."
3A SECC LOS CERRILLOS,2017-04-29,6,"Reportan balacera en Eje Central y El Salvador, afuera de Plaza Meave. Un muerto y 3 heridos.  https://t.co/GNSQjdebqt"
MEXICO NUEVO,2017-04-29,38,"OJO. Hace unos minutos se registró un tiroteo en la col. México Nuevo, en Miguel Hidalgo y al momento hay dos muertos y un herido.💀"
PARQUE SAN ANDRES,2017-04-29,7,Impresionante balacera sobre división del norte y miguel ángel de quevedo. pffff #policiacdmx —@TOTARTT https://t.co/R6hv1j5qmB
CANDELARIA COYOACAN,2017-04-30,8,"Policía en la colonia candelaria delegación coyoacán, dio 2 disparos a un joven enfrente de su casa … —@CrisRosas20 https://t.co/KMlclwH4tq"
FELIPE ANGELES,2017-04-30,5,"Asaltan Joyería en Pabellón Cuauhtémoc, Ladrones disparan para Romper las Vitrinas del Local @SSP_CDMX en el lugar.… https://t.co/dObdLZhx8P"
LOMAS DE TONALCO,2017-05-01,6,"En marisquería de Lirio y Camino a Nativitas en Xochimilco, balacera deja una persona muerta y varios heridos.

@retioDF"
LOS PICOS DE IZTACALCO 1RA SECC,2017-05-01,11,"#CdMx | Servicios Periciales retiran cadáver de persona asesinada a balazos sobre Oriente 116 y Sur 115A, col Juven… https://t.co/CGfcc5gaDj"
XALTOCAN,2017-05-01,7,"Se registra balacera en un negocio de comida en la col. barrio xaltocan, xochimilco con reporte de una… —@tavojeda5 https://t.co/7sAX3jcBJU"
CUCHILLA PANTITLAN,2017-05-02,7,"#CdMx | 

En la madrugada fue asesinado a balazos un hombre sobre Circunvalación y Tulio, col Cuchilla Pantitlán. N… https://t.co/v5qFhRlFru"
DEL CARMEN,2017-05-03,6,@UCS_CDMX Se escuchan disparos en la calle centenario entre Viena y Berlín en la del Carmen Coyoacan
PLAN DE BARRANCAS,2017-05-03,17,Robo a mano armada en ave. explanada y reforma en lomas de chapultepec a las 2 pm. 3 balazos al a… —@ponchocortes90 https://t.co/dsZ3BUqRIs
POLANCO REFORMA,2017-05-03,37,"Vandalización callejera, asaltos, balaceras en plazas y mercados, capos en Polanco...Ah, sí @ManceraMiguelMX construyendo su candidatura"
SANTA MARIA LA RIBERA,2017-05-03,7,@UCS_CDMX @ciudad_segura balazos en Enriqueta Camarillo entre torres Bodet y Sabino en Santa Maria La Ribera @RicardoMonrealA @RafaelLunaSP
DEL VALLE,2017-05-04,38,"Este uno de los vehículos atacados a balazos al exterior “Bar La Única”
col Del Valle, San Pedro confirman 3 muerto… https://t.co/hB7MphqOou"
NARCISO MENDOZA SUPER MANZANA 3 VILLA COAPA,2017-05-04,11,Asesinan a jóven a balazos en Eje 1 norte y tenochtitla Col. Morelos​ CUH #CDMX a espera de servicios periciales… https://t.co/61W4bZJbIu
AMPL GABRIEL HERNANDEZ,2017-05-05,5,2presuntos asaltantes y militar muertos al enfrentarse a balazos en un asalto a T.Publico en Periférico y 1ro de Ma… https://t.co/bCOHHtjPTz
