"date","V1"
2017-07-01,7
2017-07-03,38
2017-07-04,14
2017-07-06,43
2017-07-07,14
2017-07-13,16
2017-07-14,143
2017-07-15,19
2017-07-16,33
2017-07-17,9
2017-07-19,15
2017-07-20,272
2017-07-21,116
2017-07-22,87
2017-07-23,346
2017-07-24,319
2017-07-26,7
2017-07-28,12
2017-07-29,13
2017-07-30,177
2017-07-31,58
2017-08-01,14
2017-08-03,130
2017-08-04,16
2017-08-06,7
2017-08-08,61
2017-08-09,13
2017-08-10,44
2017-08-14,78
2017-08-15,73
2017-08-16,43
2017-08-17,18
2017-08-18,7
2017-08-19,11
2017-08-20,15
2017-08-21,8
2017-08-22,94
2017-08-23,85
2017-08-24,20
2017-08-25,561
2017-08-26,162
2017-08-27,38
2017-08-28,8
2017-08-29,66
2017-08-30,10
2017-08-31,175
2017-09-01,79
2017-09-02,30
2017-09-03,79
2017-09-04,14
2017-09-05,7
2017-09-07,49
2017-09-08,167
2017-09-09,8
2017-09-10,25
2017-09-11,21
2017-09-13,22
2017-09-14,239
2017-09-15,65
2017-09-16,56
2017-09-20,35
2017-09-22,14
2017-09-23,152
2017-09-24,72
2017-09-25,16
2017-09-27,51
2017-09-28,13
2017-09-29,18
2017-09-30,10
2017-10-01,16
2017-10-02,25
2017-10-03,6
2017-10-06,116
2017-10-08,18
2017-10-09,17
2017-10-11,95
2017-10-12,25
2017-10-16,12
2017-10-17,5
2017-10-18,22
2017-10-19,14
2017-10-20,20
2017-10-21,53
2017-10-24,15
2017-10-25,116
2017-10-26,43
2017-10-27,41
2017-10-28,34
2017-10-29,11
2017-10-30,17
2017-10-31,5
2017-11-02,88
2017-11-03,23
2017-11-04,17
2017-11-05,83
2017-11-06,61
2017-11-07,14
2017-11-08,210
2017-11-09,19
2017-11-10,43
2017-11-11,33
2017-11-12,41
2017-11-13,28
2017-11-14,34
2017-11-15,21
2017-11-16,14
2017-11-17,21
2017-11-22,16
2017-11-23,9
2017-11-24,5
2017-11-25,25
2017-11-26,5
2017-11-29,29
2017-11-30,5
2017-12-01,55
2017-12-07,26
2017-12-08,7
2017-12-09,7
2017-12-13,48
2017-12-14,14
2017-12-17,31
2017-12-20,47
2017-12-21,6
2017-12-22,46
2017-12-29,6
2018-01-03,17
2018-01-04,9
2018-01-05,15
2018-01-12,14
2018-01-13,18
2018-01-14,5
2018-01-18,16
2018-01-21,23
2018-01-23,5
2018-01-26,86
2018-01-27,19
2018-01-28,52
2018-01-29,9
2018-01-31,6
2018-02-01,26
2018-02-02,22
2018-02-04,6
2018-02-05,6
2018-02-06,15
2018-02-07,67
2018-02-08,83
2018-02-09,10
2018-02-10,9
2018-02-11,22
2018-02-12,6
2018-02-13,36
2018-02-14,68
2018-02-15,74
2018-02-16,18
2018-02-17,33
2018-02-18,34
2018-02-19,307
2018-02-20,14
2018-02-21,161
2018-02-22,113
2018-02-23,14
2018-02-24,26
2018-02-25,42
2018-02-26,19
2018-02-27,6
2018-02-28,223
2018-03-01,63
2018-03-02,43
2018-03-03,13
2018-03-04,299
2018-03-05,72
2018-03-07,5
2018-03-09,57
2018-03-10,187
2018-03-11,30
2018-03-12,44
2018-03-13,68
2018-03-16,15
2018-03-17,24
2018-03-18,19
2018-03-19,1249
2018-03-20,793
2018-03-21,19
2018-03-22,7
2018-03-23,54
2018-03-24,22
2018-03-27,54
2018-03-28,31
2018-03-29,26
2018-03-30,13
2018-03-31,6
2018-04-03,104
2018-04-04,30
2018-04-06,22
2018-04-07,7
2018-04-08,11
2018-04-09,484
2018-04-10,57
2018-04-11,13
2018-04-12,34
2018-04-13,43
2018-04-14,378
2018-04-15,137
2018-04-16,177
2018-04-17,71
2018-04-18,21
2018-04-19,115
2018-04-20,44
