"nom_estab"	"nom_vial"	"per_ocu"	"lat"	"lon"
"CONSULTORIO MÉDICO SIN NOMBRE"	"HÉROES DE TLAPACOYAN"	"0 a 5 personas"	"19.962028"	"-97.217176"
"CONSULTORIO MÉDICO"	"RAFAEL MURILLO VIDAL"	"0 a 5 personas"	"19.527449"	"-96.916322"
"HOSPITAL REGIONAL DE COATZACOALCOS VALENTIN GOMEZ FARIAS"	"IGNACIO ZARAGOZA"	"251 y más pers"	"18.145461"	"-94.424826"
"FALTA MENCIONAR EL TIPO DE ESTABLECIMIENTO"	"DEGOLLADO"	"0 a 5 personas"	"19.198089"	"-96.140795"
"CONSULTORIO MÉDICO SIN NOMBRE"	"HERIBERTO JARA CORONA"	"0 a 5 personas"	"19.172256"	"-96.125841"
"CONSULTORIOS DE MEDICINA GENERAL DEL SECTOR PRIVADO"	"ZAMORA"	"0 a 5 personas"	"18.42136"	"-95.112116"
"CONSULTORIO MÉDICO"	"AGUSTÍN DE ITURBIDE"	"0 a 5 personas"	"18.444494"	"-95.214178"
"SANATORIO HUMANO"	"ATENAS"	"0 a 5 personas"	"17.985087"	"-94.568977"
"CONSULTORIO MÉDICO SIN NOMBRE"	"ADOLFO RUÍZ CORTINES"	"0 a 5 personas"	"20.529004"	"-97.462658"
"CONSULTORIO MÉDICO SIN NOMBRE"	"2 PONIENTE"	"0 a 5 personas"	"19.151136"	"-96.964233"
"CONSULTORIOS DE MEDICINA GENERAL DEL SECTOR PRIVADO"	"MORELOS"	"0 a 5 personas"	"18.019361"	"-94.388157"
"SALUD PARA TODOS SUC 1056 PAPANTLA"	"BENITO JUÁREZ"	"0 a 5 personas"	"20.447281"	"-97.321128"
"SANATORIO SAN JOSE"	"EJÉRCITO MEXICANO"	"0 a 5 personas"	"17.989048"	"-94.548139"
"CONSULTORIO MÉDICO PRIVADO"	"5 DE MAYO"	"0 a 5 personas"	"19.194664"	"-96.136303"
"CONSULTORIO MEDICINA GENERAL"	"CARLOS A. CARRILLO"	"0 a 5 personas"	"19.542492"	"-96.9226"
"CONSULTORIO MÉDICO"	"20 DE NOVIEMBRE"	"0 a 5 personas"	"18.447608"	"-95.211109"
"CONSULTORIO SIN NOMBRE"	"FRANCISCO I. MADERO"	"0 a 5 personas"	"18.367175"	"-95.791075"
"DRA. YADIRA MENDOZA BLANCO"	"PASEO DE LAS PALMAS"	"0 a 5 personas"	"19.539687"	"-96.929182"
"CONSULTORIO MÉDICO GENERAL SIN NOMBRE"	"MELCHOR OCAMPO"	"0 a 5 personas"	"19.453482"	"-96.960793"
"INSTITUTO DE SEGURIDAD Y SERVICIOS SOCIALES DE LOS TRABAJADORES DEL ESTADO"	"EMILIANO ZAPATA"	"11 a 30 persona"	"18.360593"	"-95.803986"
"CONSULTORIO MÉDICO UROLOGO"	"LÁZARO CÁRDENAS"	"0 a 5 personas"	"19.547854"	"-96.91106"
"UNIDAD DE MEDICINA FAMILIAR NO 45 DEL IMSS"	"DEL CEMENTERIO"	"6 a 10 personas"	"18.230301"	"-95.944412"
"CONSULTORIO MÉDICO MEDICINA EN GENERAL"	"GENERAL MIGUEL ALEMÁN"	"0 a 5 personas"	"19.531062"	"-96.936334"
"CONSULTORIO MÉDICO GENERAL"	"SUR"	"0 a 5 personas"	"19.14972"	"-96.125496"
"CONSULTORIO MÉDICO"	"PASEO FLORESTA ORIENTE"	"0 a 5 personas"	"19.162633"	"-96.135521"
"CONSULTORIO MÉDICO"	"CUBA"	"0 a 5 personas"	"20.535863"	"-97.459405"
"DISPENSARIO MÉDICO ASOCIACIÓN CIVIL NO LUCRATIVA"	"19 DE FEBRERO"	"6 a 10 personas"	"19.040576"	"-96.420191"
"CONSULTORIO MÉDICO SIN NOMBRE"	"MIGUEL HIDALGO"	"0 a 5 personas"	"20.450746"	"-97.084671"
"UNIDAD MEDICA RURAL"	"POZO 13"	"0 a 5 personas"	"20.524107"	"-97.428219"
"CONSULTORIO MÉDICO SIN NOMBRE"	"CUBA"	"0 a 5 personas"	"20.535863"	"-97.459405"
"CRUZ ROJA MEXICANA DELEGACIÓN COATZACOALCOS"	"CONSTITUCIÓN"	"31 a 50 persona"	"18.137898"	"-94.435771"
"FUNDACIÓN MEDICA FAMILIAR  A.C."	"ARAUCARIAS"	"0 a 5 personas"	"19.154324"	"-96.197313"
"CONSULTORIOS DE MEDICINA GENERAL DEL SECTOR PRIVADO"	"HERNÁNDEZ Y HERNÁNDEZ SUR"	"0 a 5 personas"	"19.044655"	"-96.419049"
"UNIDAD MÉDICA FAMILIAR NO 66"	"MORA BERISTAIN"	"251 y más pers"	"19.525591"	"-96.933587"
"CONSULTORIO MÉDICO SIN NOMBRE"	"20 DE NOVIEMBRE"	"0 a 5 personas"	"17.897436"	"-94.10111"
"CONSULTORIO MÉDICO SIN NOMBRE"	"3 ORIENTE"	"0 a 5 personas"	"19.14947"	"-96.962324"
"SERVICIO MÉDICO SIN NOMBRE"	"3"	"0 a 5 personas"	"18.81315"	"-96.722809"
"CONSULTORIO MÉDICO SIN NOMBRE"	"LÁZARO CÁRDENAS"	"0 a 5 personas"	"20.020866"	"-97.144636"
"CONSULTORIO MÉDICO GENERAL"	"ALTAMIRANO"	"0 a 5 personas"	"20.535883"	"-97.456981"
"CONSULTORIO PERIFÉRICO DE POTRERO DEL LLANO"	"PEMEX"	"0 a 5 personas"	"21.075717"	"-97.73304"
"HOSPITAL GENERAL DE TLALIXCOYAN"	"JOSÉ E VILLEGAS"	"101 a 250 perso"	"18.799676"	"-96.057957"
"UNIDAD MEDICA URBANA BLANCA ESPUMA"	"3"	"0 a 5 personas"	"19.957366"	"-97.20876"
"CONSULTORIO MÉDICO SIN NOMBRE"	"ALLENDE"	"0 a 5 personas"	"18.076711"	"-95.705522"
"DOCTOR ENRIQUE RODRIGUEZ ALFONSIN A CIRUGÍA GENERAL"	"JESÚS REYES HEROLES"	"0 a 5 personas"	"19.541292"	"-96.930811"
"CONSULTORÍO MÉDICO"	"20 DE NOVIEMBRE"	"0 a 5 personas"	"18.082254"	"-96.125051"
"CONSULTORIOS DE MEDICINA GENERAL DEL SECTOR PRIVADO"	"16 DE SEPTIEMBRE"	"0 a 5 personas"	"17.969101"	"-94.714682"
"IMSS"	"MANUEL ACUÑA"	"251 y más pers"	"17.98773"	"-94.550052"
"CONSULTORIO PRIVADO"	"CRISTÓBAL DE OLID"	"0 a 5 personas"	"19.166045"	"-96.12374"
"CONSULTORIO MÉDICO SIN NOMBRE"	"RÍO NECAXA"	"0 a 5 personas"	"18.139806"	"-94.489938"
"CONSULTORIO PARTICULAR"	"RÍO DE LA PLATA"	"0 a 5 personas"	"19.160077"	"-96.211044"
"FARMACIA UNIÓN"	"MIGUEL ÁNGEL DE QUEVEDO"	"0 a 5 personas"	"18.146601"	"-94.450662"
"DIF MUNICIPAL"	"MIGUEL HIDALGO"	"31 a 50 persona"	"17.979675"	"-94.541859"
"UNIDAD MEDICA DE ATENCIÓN AMBULATORIA ANEXA A UNIDAD DE MED FAMILIAR NO 15"	"AUTOPISTA A VERACRUZ"	"101 a 250 perso"	"19.170059"	"-96.228394"
"CONSULTORIO MÉDICO"	"VIRGILIO URIBE"	"0 a 5 personas"	"19.189153"	"-96.131974"
"DISPENSARIO MÉDICO"	"5 DE MAYO"	"0 a 5 personas"	"19.40458"	"-96.356641"
"SALUD PARA TODOS SUC 912 XALPA G1"	"XALAPEÑOS ILUSTRES"	"0 a 5 personas"	"19.527927"	"-96.920135"
"CONSULTORIO MÉDICO SIN NOMBRE"	"LIBERTAD"	"0 a 5 personas"	"18.448822"	"-96.360404"
"CONSULTORIOS DE MEDICINA GENERAL DEL SECTOR PRIVADO"	"MIGUEL HIDALGO"	"0 a 5 personas"	"17.988368"	"-94.544947"
"CONSULTORIO MÉDICO SIN NOMBRE"	"INDEPENDENCIA"	"0 a 5 personas"	"20.546707"	"-97.439874"
