"nombre"	"tipo_centro"	"dir"	"horario"	"dias"	"lon"	"lat"	"tipo"	"entidades_que_apoya"	"entidad"
"Instituto Nacional de Perinatología"	"Académico"	"Calle Montes Urales 800, Miguel Hidalgo, Lomas Virreyes, 11000 Ciudad de México, CDMX"	""	""	-99.2058139	19.4231682	"Alimentos y agua, Higiene personal, Limpieza del hogar, Primeros auxilios, Alimento para mascotas"	"Juchitán"	"CDMX"
"Locatel"	"Gobierno"	"Heroes del 47 No. 113, San Mateo Churubusco, 04120 Coyoacán, CDMX"	"9:00 - 18:00"	"Lunes a domingo"	-99.1499681	19.3514956	"Alimentos y agua, Higiene personal, Limpieza del hogar"	"Oaxaca, Chiapas"	"CDMX"
"Restaurante Comixcal"	"Ciudadano"	"Dr. Atl 176, Sta María la Ribera, 06400 Ciudad de México, CDMX"	"14:30 - 22:00"	""	-99.1563685	19.4484336	"Alimentos y agua, Higiene personal, Limpieza del hogar, Ropa"	"Juchitán"	"CDMX"
"PRI Nacional"	"Ciudadano"	"Avenida Insurgentes Norte 59, Buenavista, 06359 Cuauhtémoc, CDMX, Mexico"	""	""	-99.154322	19.441615	"Alimentos, Higiene Personal, Limpieza del Hogar"	"12 entidades federativas afectadas"	"CDMX"
"Instancia Coordinadora Nacional de la Sección XXII de Oaxaca"	"Ciudadano"	"Av. Coyoacán 939, Col del Valle Centro, 03100 Ciudad de México, CDMX"	""	""	-99.1686104	19.381953	"Medicamentos, Material de de curación"	"Istmo"	"CDMX"
"Centro Cultural Macario Matus"	"Ciudadano"	"Almacenes 74, Cuauhtémoc, 06900 Ciudad de México, CDMX"	""	""	-99.1358887	19.4508045	"Alimentos y agua, Higiene personal, Limpieza del hogar"	"Juchitán"	"CDMX"
"Zócalo"	"Gobierno"	"Plaza de la Constitución S/N, Centro, Cuauhtémoc, 06010 Ciudad de México, CDMX, Mexico"	"9:00 - 18:00"	"Lunes a Domingo"	-99.1324569	19.4332677	"Artículos de primera necesidad, Higiene personal, Limpieza del hogar"	"Oaxaca, Chiapas"	"CDMX"
"Sandoval Contadores Públicos"	"Ciudadano"	"Lago Wetter 134, Cuauhtémoc Pensil, 11490 Ciudad de México, CDMX"	""	""	-99.1937932	19.4449117	""	"Istmo"	"CDMX"
"ENAH"	"Académico"	"Periférico Sur y Zapote s/n. Colonia Isidro Fabela, Tlalpan, Isidro Fabela, 14030 Ciudad de México, CDMX"	"7:00 - 15:00"	""	-99.1798404	19.3023275	""	"Pueblos huaves, Juchitán"	"CDMX"
"UNAM - Estadio Olímpico Universtario"	"Académico"	"Universidad Nacional Autonoma de Mexico C.U., Av de los Insurgentes Sur S/N, Cd. Universitaria, 04510 Ciudad de México, CDMX, Mexico"	"9:00 - 17:00"	"Sábado"	-99.1921777	19.3319125	"Alimentos, Productos de Higiene Personal, Limpieza del hogar"	""	"CDMX"
"DIF Nacional"	"Gobierno"	"Gral. Emiliano Zapata 340, Sta Cruz Atoyac, 03310 Ciudad de México, CDMX"	""	""	-99.162057	19.3695354	"Alimentos y agua, Higiene personal, Limpieza del hogar, Primeros auxilios, Medicamentos, Alimentos para bebé"	"Oaxaca, Chiapas"	"CDMX"
"DIF - Almacenes Generales"	"Gobierno"	"Av. México Coyoacán 278, Sta Cruz Atoyac, 03310 Ciudad de México, CDMX"	""	""	-99.1632828	19.3661932	"Alimentos y agua, Higiene personal, Limpieza del hogar, Primeros auxilios, Medicamentos, Alimentos para bebé"	"Oaxaca, Chiapas"	"CDMX"
