"fecha","bases_agregadas","total_bases"
2014-06-18,5,5
2014-06-19,16,21
2014-06-20,1,22
2014-06-21,2,24
2014-06-22,2,26
2014-06-23,1,27
2014-06-24,1,28
2014-06-25,9,37
2014-06-26,68,105
2014-06-27,85,190
2014-07-01,102,292
2014-07-02,6,298
2014-07-04,171,469
2014-07-05,7,476
2014-07-07,8,484
2014-07-08,223,707
2014-07-10,153,860
2014-07-11,292,1152
2014-07-15,8,1160
2014-07-16,1,1161
2014-07-17,1,1162
2014-07-18,8,1170
2014-07-21,17,1187
2014-07-23,142,1329
2014-07-24,23,1352
2014-07-29,7,1359
2014-07-31,3,1362
2014-08-04,1,1363
2014-08-05,12,1375
2014-08-06,9,1384
2014-08-07,9,1393
2014-08-08,9,1402
2014-08-09,9,1411
2014-08-10,9,1420
2014-08-11,9,1429
2014-08-12,43,1472
2014-08-13,101,1573
2014-08-14,32,1605
2014-08-15,26,1631
2014-08-16,26,1657
2014-08-17,26,1683
2014-08-18,26,1709
2014-08-19,26,1735
2014-08-20,26,1761
2014-08-21,30,1791
2014-08-22,57,1848
2014-08-23,16,1864
2014-08-24,16,1880
2014-08-25,16,1896
2014-08-26,16,1912
2014-08-27,16,1928
2014-08-28,13,1941
2014-08-29,10,1951
2014-09-02,33,1984
2014-09-03,138,2122
2014-09-05,73,2195
2014-09-06,2,2197
2014-09-10,1,2198
2014-09-29,1,2199
2014-09-30,17,2216
2014-10-07,24,2240
2014-10-08,274,2514
2014-10-09,20,2534
2014-10-14,52,2586
2014-10-16,13,2599
2014-10-21,27,2626
2014-10-22,1,2627
2014-10-23,1,2628
2014-10-24,2,2630
2014-10-28,4,2634
2014-11-10,57,2691
2014-11-11,81,2772
2014-11-14,10,2782
2014-11-18,8,2790
2014-11-24,19,2809
2014-11-26,4,2813
2014-11-27,57,2870
2014-12-02,1,2871
2014-12-03,222,3093
2014-12-09,27,3120
2014-12-13,373,3493
2014-12-16,2,3495
2014-12-17,166,3661
2014-12-18,187,3848
2014-12-19,1,3849
2014-12-23,112,3961
2014-12-24,10,3971
2014-12-29,4,3975
2014-12-30,7,3982
2015-01-09,1,3983
2015-01-10,225,4208
2015-01-13,23,4231
2015-01-14,8,4239
2015-01-20,27,4266
2015-01-22,42,4308
2015-01-23,62,4370
2015-01-24,7,4377
2015-01-26,24,4401
2015-01-27,46,4447
2015-01-30,6,4453
2015-02-03,11,4464
2015-02-05,10,4474
2015-02-09,8,4482
2015-02-12,80,4562
2015-02-20,1,4563
2015-02-23,2,4565
2015-02-24,28,4593
2015-02-26,15,4608
2015-02-27,4,4612
2015-02-28,1,4613
2015-03-02,75,4688
2015-03-03,78,4766
2015-03-04,211,4977
2015-03-05,32,5009
2015-03-09,74,5083
2015-03-10,155,5238
2015-03-11,19,5257
2015-03-12,24,5281
2015-03-13,9,5290
2015-03-14,34,5324
2015-03-24,19,5343
2015-03-27,5,5348
2015-03-30,5,5353
2015-03-31,6,5359
2015-04-07,2,5361
2015-04-10,12,5373
2015-04-13,11,5384
2015-04-14,48,5432
2015-04-17,8,5440
2015-04-20,6,5446
2015-04-21,79,5525
2015-04-24,6,5531
2015-04-25,12,5543
2015-04-27,13,5556
2015-04-29,78,5634
2015-04-30,158,5792
2015-05-12,13,5805
2015-05-13,11,5816
2015-05-19,275,6091
2015-05-21,88,6179
2015-05-22,87,6266
2015-05-24,289,6555
2015-05-25,69,6624
2015-05-29,7,6631
2015-06-01,30,6661
2015-06-02,20,6681
2015-06-03,4,6685
2015-06-08,8,6693
2015-06-09,1,6694
2015-06-11,14,6708
2015-06-12,7,6715
2015-06-16,10,6725
2015-06-17,5,6730
2015-06-18,5,6735
2015-06-19,21,6756
2015-06-23,310,7066
2015-06-26,68,7134
2015-06-29,2,7136
2015-06-30,10,7146
2015-07-01,38,7184
2015-07-02,7,7191
2015-07-03,145,7336
2015-07-06,10,7346
2015-07-07,191,7537
2015-07-08,9,7546
2015-07-10,2,7548
2015-07-11,107,7655
2015-07-13,208,7863
2015-07-14,14,7877
2015-07-15,44,7921
2015-07-17,20,7941
2015-07-20,30,7971
2015-07-21,27,7998
2015-07-22,56,8054
2015-07-23,114,8168
2015-07-24,22,8190
2015-07-27,75,8265
2015-07-28,27,8292
2015-07-30,24,8316
2015-07-31,7,8323
2015-08-03,14,8337
2015-08-05,222,8559
2015-08-07,204,8763
2015-08-10,16,8779
2015-08-11,435,9214
