"fecha","Institucion","Nombre","Tipo","Bytes","Version"
2014-07-04,"salud","Recursos en Salud 2013","zip","2348810",6
2014-07-04,"salud","Mapa georreferenciado de Recursos en Salud 2013","kmz","1464.32",6
2014-07-04,"salud","Mortalidad Materna para el periodo 2000-2012","zip","1137664",6
2014-07-04,"sct","Contratos de obras pÃºblicas","text/csv"," 528,384 ",8
2014-07-04,"sct","ConservaciÃ³n de Carreteras","text/csv"," 205,824 ",8
2014-07-04,"sct","CircunscripciÃ³n territorial de carreteras federales libres de peaje.","text/csv"," 347,136 ",8
2014-07-04,"sct","Movimientos de bienes y personas en ZONA1_1_PC_FELICIANO","text/csv"," 4,527,104 ",8
2014-07-04,"sct","Movimientos de bienes y personas en ZONA1_2_JOLUTA","text/csv"," 3,406,848 ",8
2014-07-04,"sct","Movimientos de bienes y personas en ZONA1_3_SAN_JUAN_BOSCO","text/csv"," 950,272 ",8
2014-07-04,"sct","Movimientos de bienes y personas en ZONA1_4_PC_SAN_MARTIN","text/csv"," 43,987,968 ",8
2014-07-04,"sct","Movimientos de bienes y personas en ZONA1_5_AMOZOC","text/csv"," 17,582,080 ",8
2014-07-04,"sct","Movimientos de bienes y personas en ZONA1_6_PC_AMOZOC","text/csv"," 13,483,008 ",8
2014-07-04,"sct","Movimientos de bienes y personas en ZONA2_1_MONTECILLOS","text/csv"," 2,991,104 ",8
2014-07-04,"sct","Movimientos de bienes y personas en ZONA2_3_AUTODROMO_AGS","text/csv"," 5,940,224 ",8
2014-07-04,"sct","Movimientos de bienes y personas en ZONA2_4_PUERTA_PALMILLAS","text/csv"," 7,088,128 ",8
2014-07-04,"sct","Movimientos de bienes y personas en ZONA2_5_PC_PALMILLAS","text/csv"," 38,611,968 ",8
2014-07-04,"sct","Movimientos de bienes y personas en ZONA2_6_SAN_SEBASTIAN","text/csv"," 12,009,472 ",8
2014-07-04,"sct","Movimientos de bienes y personas en ZONA3_1_PC_TEPOZTLAN","text/csv"," 7,984,128 ",8
2014-07-04,"sct","Movimientos de bienes y personas en ZONA3_2_PC_TLALPAN","text/csv"," 38,871,040 ",8
2014-07-04,"sct","Movimientos de bienes y personas en ZONA3_3_PC_CHICHEN ITZA","text/csv"," 3,028,992 ",8
2014-07-04,"sct","Movimientos de bienes y personas en ZONA3_4_KAUA","text/csv"," 2,604,032 ",8
2014-07-04,"sct","Movimientos de bienes y personas en ZONA3_5_PC_SEYBAPLAYA","text/csv"," 5,584,896 ",8
2014-07-04,"sct","Movimientos de bienes y personas en ZONA3_6_SEYBAPLAYA","text/csv"," 2,725,888 ",8
2014-07-04,"sct","Tarifas vigentes","text/csv"," 53,248 ",8
2014-07-04,"sct","UbicaciÃ³n y generales de casetas de cobro","text/csv"," 71,680 ",8
2014-07-04,"sct","Fletes Internacionales","text/csv"," 40,960 ",8
2014-07-04,"sct","Fletes nacionales","text/csv"," 30,720 ",8
2014-07-04,"sct","Registros internacionales","text/csv"," 30,720 ",8
2014-07-04,"sct","Registros nacionales","text/csv"," 30,720 ",8
2014-07-04,"sct","Licencias ferroviarias","text/csv"," 1,130,496 ",8
2014-07-04,"sct","Capacidades por tipo de licencia ferroviaria","text/csv"," 1,925,120 ",8
2014-07-04,"sct","Empresas ferroviarias y personal","text/csv"," 541,696 ",8
2014-07-04,"sct","Solicitudes de licencias ferroviarias","text/csv"," 552,960 ",8
2014-07-04,"sct","Licencias de autotransporte","text/csv"," 30,409,728 ",8
2014-07-04,"sct","Medicina Preventiva en el autotransporte","text/csv"," 3,980,288 ",8
2014-07-04,"sct","Flota activa de autotransporte","text/csv"," 77,971,456 ",8
2014-07-04,"sct","TrÃ¡mites del Servicio PÃºblico Federal","text/csv"," 9,631,744 ",8
2014-07-04,"sct","EstadÃ­sticas de operaciones de puertos","text/csv"," 30,409,728 ",8
2014-07-04,"sct","Flota activa de embarcaciones completa","text/csv"," 2,048 ",8
2014-07-04,"sct","Flota activa de embarcaciones menores a 100 esloras","text/csv"," 2,048 ",8
2014-07-04,"sct","Avances en TelevisiÃ³n Digital Terrestre","text/csv"," 161,792 ",8
2014-07-04,"sct","MÃ©xico conectado","text/csv"," 5,428,224 ",8
2014-07-05,"sct","Contratos de obras pÃºblicas","text/csv"," 528,384 ",7
2014-07-05,"sct","ConservaciÃ³n de Carreteras","text/csv"," 205,824 ",7
2014-07-05,"sct","CircunscripciÃ³n territorial de carreteras federales libres de peaje.","text/csv"," 347,136 ",7
2014-07-05,"sct","Movimientos de bienes y personas en ZONA1_1_PC_FELICIANO","text/csv"," 4,527,104 ",7
2014-07-05,"sct","Movimientos de bienes y personas en ZONA1_2_JOLUTA","text/csv"," 3,406,848 ",7
2014-07-05,"sct","Movimientos de bienes y personas en ZONA1_3_SAN_JUAN_BOSCO","text/csv"," 950,272 ",7
2014-07-05,"sct","Movimientos de bienes y personas en ZONA1_4_PC_SAN_MARTIN","text/csv"," 43,987,968 ",7
2014-07-05,"sct","Movimientos de bienes y personas en ZONA1_5_AMOZOC","text/csv"," 17,582,080 ",7
2014-07-05,"sct","Movimientos de bienes y personas en ZONA1_6_PC_AMOZOC","text/csv"," 13,483,008 ",7
