"","created_at","0.0","-1.0","1.0"
"1",2018-01-01,504,50,8
"2",2018-01-02,1026,166,8
"3",2018-01-03,714,106,32
"4",2018-01-04,1124,168,44
"5",2018-01-05,1300,106,72
"6",2018-01-06,666,106,6
"7",2018-01-07,924,206,26
"8",2018-01-08,1112,120,14
"9",2018-01-09,1480,98,10
"10",2018-01-10,1002,102,60
"11",2018-01-11,868,80,20
"12",2018-01-12,742,168,14
"13",2018-01-13,888,56,14
"14",2018-01-14,672,72,8
"15",2018-01-15,832,68,2
"16",2018-01-16,758,76,4
"17",2018-01-17,578,130,22
"18",2018-01-18,806,172,8
"19",2018-01-19,1478,90,42
"20",2018-01-20,734,58,18
"21",2018-01-21,630,54,32
"22",2018-01-22,894,132,30
"23",2018-01-23,766,184,20
"24",2018-01-24,738,136,NA
"25",2018-01-25,628,58,2
"26",2018-01-26,844,76,18
"27",2018-01-27,544,96,16
"28",2018-01-28,548,52,6
"29",2018-01-29,688,74,22
"30",2018-01-30,780,54,36
"31",2018-01-31,712,56,40
"32",2018-02-01,624,102,6
"33",2018-02-02,690,54,16
"34",2018-02-03,520,48,10
"35",2018-02-04,504,132,NA
"36",2018-02-05,678,152,26
"37",2018-02-06,652,154,44
"38",2018-02-07,814,142,40
"39",2018-02-08,672,160,24
"40",2018-02-09,1386,94,12
"41",2018-02-10,844,118,80
"42",2018-02-11,630,54,50
"43",2018-02-12,1068,76,34
"44",2018-02-13,806,102,22
"45",2018-02-14,802,92,28
"46",2018-02-15,978,94,70
"47",2018-02-16,1122,170,48
"48",2018-02-17,1088,114,72
"49",2018-02-18,1042,110,18
"50",2018-02-19,1196,188,30
"51",2018-02-20,1372,208,26
"52",2018-02-21,1448,372,18
"53",2018-02-22,1282,402,12
"54",2018-02-23,932,150,30
"55",2018-02-24,1122,86,4
"56",2018-02-25,1562,86,30
"57",2018-02-26,1164,88,22
"58",2018-02-27,1244,182,18
"59",2018-02-28,784,108,16
"60",2018-03-01,1100,74,26
"61",2018-03-02,1718,126,72
"62",2018-03-03,688,118,26
"63",2018-03-04,536,58,12
"64",2018-03-05,732,74,28
"65",2018-03-06,630,116,22
"66",2018-03-07,1076,930,30
"67",2018-03-08,1200,568,26
"68",2018-03-09,870,316,16
"69",2018-03-10,728,262,10
"70",2018-03-11,766,1740,12
"71",2018-03-12,1032,4098,14
"72",2018-03-13,1180,562,28
"73",2018-03-14,1238,186,28
"74",2018-03-15,1070,128,26
"75",2018-03-16,656,110,22
"76",2018-03-17,468,112,16
"77",2018-03-18,468,70,14
"78",2018-03-19,584,80,14
"79",2018-03-20,1536,62,14
"80",2018-03-21,1188,146,38
"81",2018-03-22,1172,114,30
"82",2018-03-23,976,170,38
"83",2018-03-24,740,186,20
"84",2018-03-25,994,56,12
"85",2018-03-26,1102,132,30
"86",2018-03-27,714,298,28
"87",2018-03-28,832,104,14
"88",2018-03-29,1996,78,14
"89",2018-03-30,1410,78,10
"90",2018-03-31,790,192,14
"91",2018-04-01,808,64,38
"92",2018-04-02,1614,148,44
"93",2018-04-03,814,100,48
"94",2018-04-04,1158,334,50
"95",2018-04-05,1016,230,18
"96",2018-04-06,644,112,16
"97",2018-04-07,702,330,20
"98",2018-04-08,602,206,28
"99",2018-04-09,762,116,30
"100",2018-04-10,862,54,98
"101",2018-04-11,1366,134,26
"102",2018-04-12,1704,62,22
"103",2018-04-13,1866,96,30
"104",2018-04-14,908,46,14
"105",2018-04-15,736,104,6
"106",2018-04-16,1398,80,22
"107",2018-04-17,2522,206,14
"108",2018-04-18,1182,224,12
"109",2018-04-19,664,74,18
